dataset,stratum_type,stratum,prompt_count,mean_persistence_error,mean_best_error,median_best_error,p75_best_error,mean_oracle_improvement,mean_oracle_error_reduction_ratio,helpful_candidate_available_rate,best_direction_match_rate,any_direction_match_rate,target_bracketed_rate,magnitude_cover_rate,multi_direction_rate,all_flat_rate,within_1pp_rate,within_2pp_rate,within_5pp_rate,within_10pp_rate,over_20pp_rate,mean_candidate_range,median_candidate_range,mean_candidate_range_fraction_of_market_move,median_best_delta_fraction_of_market_move_when_direction_match
train_all_batches,gap_type,right_direction_under_update,141,0.14700709219858152,0.11795035460992903,0.0836,0.1423999999999999,0.02905673758865248,0.24943330974942804,1.0,1.0,1.0,0.0,0.0,0.8226950354609929,0.0,0.0,0.0,0.3262411347517731,0.6312056737588653,0.1347517730496454,0.0465645390070922,0.034099999999999964,0.3934812611300786,0.18832391713747645
train_all_batches,gap_type,no_right_direction_candidate,131,0.11368473282442747,0.12127786259541981,0.0872999999999999,0.14574999999999996,-0.0075931297709923695,-0.07624420322021444,0.0,0.0,0.0,0.0,0.0,0.33587786259541985,0.48091603053435117,0.0,0.0,0.09923664122137404,0.5801526717557252,0.1297709923664122,0.023215267175572523,0.0,0.23461193986657197,
train_all_batches,gap_type,near_hit,20,0.08220499999999999,0.00806499999999997,0.00945,0.01115,0.07414000000000001,0.8875548813375985,1.0,1.0,1.0,0.4,0.4,0.7,0.0,0.6,1.0,1.0,1.0,0.0,0.09360500000000001,0.07749999999999999,1.1455333985118634,0.8901583034647546
train_all_batches,gap_type,bracketed_but_sparse,6,0.09516666666666664,0.04444999999999998,0.0392,0.055075,0.05071666666666665,0.510369749144593,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.23270000000000002,0.195,2.3308410877917076,1.4918592020999752
train_all_batches,gap_type,right_direction_over_update,2,0.09499999999999995,0.12194999999999995,0.12194999999999995,0.17002499999999998,-0.02695,-0.6259193135635056,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,2.625919313563507
train_all_batches,best_error_bin,over_20pp,37,0.3316810810810811,0.3390972972972973,0.2813,0.4291,-0.0074162162162162175,-0.1575271591342422,0.5135135135135135,0.5405405405405406,0.5405405405405406,0.0,0.02702702702702703,0.5675675675675675,0.13513513513513514,0.0,0.0,0.0,0.0,1.0,0.04065135135135135,0.03400000000000003,0.129590235492452,0.06093432557329037
train_all_batches,best_error_bin,within_20pp,71,0.15250281690140843,0.14235352112676056,0.1345,0.16555,0.01014929577464788,0.030447997010773883,0.4647887323943662,0.4647887323943662,0.4647887323943662,0.0,0.0,0.6056338028169014,0.2535211267605634,0.0,0.0,0.0,0.0,0.0,0.04078028169014084,0.02999999999999997,0.2894555302193402,0.14560279557367503
train_all_batches,best_error_bin,within_10pp,108,0.08469166666666664,0.07310648148148144,0.07384999999999994,0.08507499999999993,0.011585185185185184,0.08468721518449442,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.018518518518518517,0.018518518518518517,0.5833333333333334,0.26851851851851855,0.0,0.0,0.0,1.0,0.0,0.032357407407407404,0.013500000000000012,0.3424282918674429,0.18450184501845018
train_all_batches,best_error_bin,within_1pp,12,0.08293333333333332,0.003933333333333291,0.0024499999999999,0.007699999999999926,0.07900000000000003,0.93322478695108,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,0.0,0.09184166666666667,0.08249999999999999,1.1550952593853,0.9704413271456123
train_all_batches,best_error_bin,within_5pp,64,0.06461093749999997,0.03874687499999996,0.03999999999999995,0.046474999999999975,0.0258640625,0.3361400590756003,0.796875,0.796875,0.796875,0.0625,0.078125,0.609375,0.171875,0.0,0.0,1.0,1.0,0.0,0.0485765625,0.022500000000000006,0.5917442435646023,0.4273356401384073
train_all_batches,best_error_bin,within_2pp,8,0.08111249999999998,0.014262499999999987,0.014,0.0172,0.06684999999999999,0.8190500229173763,1.0,1.0,1.0,0.25,0.25,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.09625,0.06999999999999995,1.1311906072017086,0.8112359373024896
train_all_batches,bracket_status,all_below_target,130,0.14483615384615384,0.12490692307692305,0.08274999999999995,0.14165,0.019929230769230765,0.17384994585762095,0.7153846153846154,0.7230769230769231,0.7230769230769231,0.0,0.007692307692307693,0.5769230769230769,0.19230769230769232,0.023076923076923078,0.05384615384615385,0.3076923076923077,0.6384615384615384,0.15384615384615385,0.03802615384615384,0.020000000000000018,0.31363580739555974,0.26148041318520143
train_all_batches,bracket_status,all_above_target,156,0.11447371794871793,0.10675705128205124,0.08100000000000004,0.1318,0.007716666666666668,0.0736877062552674,0.391025641025641,0.391025641025641,0.391025641025641,0.0,0.00641025641025641,0.6025641025641025,0.24358974358974358,0.019230769230769232,0.03205128205128205,0.20512820512820512,0.6089743589743589,0.10897435897435898,0.03563525641025641,0.020000000000000018,0.3696008850512376,0.1917326297273527
train_all_batches,bracket_status,bracketed,14,0.09565714285714284,0.021307142857142837,0.0106,0.0362,0.07435,0.7605577435715245,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.0,0.42857142857142855,0.5714285714285714,0.8571428571428571,1.0,0.0,0.16947142857142855,0.1381,1.7628816721024063,1.0028193112803279
train_all_batches,candidate_count,3,17,0.1553176470588235,0.13536470588235291,0.0931999999999999,0.145,0.019952941176470573,0.20151298683738036,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.0,0.0,0.11764705882352941,0.23529411764705882,0.5294117647058824,0.17647058823529413,0.05179999999999999,0.03,0.5294169360568173,0.2845138055222089
train_all_batches,candidate_count,4,40,0.14934499999999998,0.12743249999999998,0.0666,0.11657499999999998,0.02191250000000001,0.22784196096950185,0.675,0.675,0.675,0.025,0.025,0.625,0.15,0.025,0.075,0.3,0.7,0.15,0.047154999999999996,0.022500000000000006,0.47768023842595425,0.2000000000000004
train_all_batches,candidate_count,5,224,0.1228709821428571,0.10678973214285711,0.0799999999999999,0.1318749999999999,0.01608125,0.14219431182596656,0.5357142857142857,0.5401785714285714,0.5401785714285714,0.044642857142857144,0.049107142857142856,0.65625,0.22767857142857142,0.044642857142857144,0.05803571428571429,0.2767857142857143,0.6339285714285714,0.12053571428571429,0.04399241071428571,0.024999999999999994,0.4151144219191218,0.21428571428571427
train_all_batches,candidate_count,2,11,0.09958181818181816,0.10314545454545451,0.0602,0.10649999999999996,-0.0035636363636363747,-0.019283910928810207,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.0,0.0,0.09090909090909091,0.36363636363636365,0.0,0.09090909090909091,0.36363636363636365,0.7272727272727273,0.09090909090909091,0.023090909090909103,0.010000000000000009,0.18343713445110774,0.4436717663421425
train_all_batches,candidate_count,1,8,0.09913749999999998,0.09203749999999997,0.07619999999999996,0.15687499999999993,0.007100000000000012,0.07059768793732957,0.375,0.375,0.375,0.125,0.25,0.0,0.25,0.125,0.125,0.25,0.625,0.0,0.0,0.0,0.0,1.0
heldout_test72,overall,all,62,0.18070806451612903,0.13975322580645158,0.10694999999999995,0.183975,0.04095483870967743,0.1989448692485375,0.6451612903225806,0.6451612903225806,0.6451612903225806,0.0,0.0,0.6935483870967742,0.14516129032258066,0.0,0.03225806451612903,0.20967741935483872,0.4838709677419355,0.1774193548387097,0.0651548387096774,0.04889999999999997,0.4567324542452837,0.24955785750379
heldout_test72,category,Politics,45,0.17861999999999997,0.14172888888888885,0.1072999999999999,0.1732999999999999,0.03689111111111111,0.20333349905347248,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.0,0.0,0.7111111111111111,0.15555555555555556,0.0,0.022222222222222223,0.2,0.4666666666666667,0.15555555555555556,0.06834666666666667,0.04780000000000001,0.45798224299789736,0.2491157150075796
heldout_test72,category,Elections,7,0.21571428571428572,0.12692857142857136,0.1475999999999999,0.20609999999999995,0.08878571428571432,0.2259994335705822,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.03938571428571426,0.045,0.44349855174039327,0.19470630891950655
heldout_test72,category,Companies,9,0.17198888888888883,0.1472555555555555,0.0932999999999999,0.1848,0.024733333333333322,0.14208934643752888,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0,0.0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.1111111111111111,0.5555555555555556,0.2222222222222222,0.07258888888888888,0.0514,0.47554967589424696,0.2585034013605434
heldout_test72,category,Financials,1,0.1081,0.0731,0.0731,0.0731,0.035,0.32377428307123035,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.035,0.035,0.32377428307123035,0.32377428307123035
heldout_test72,market_direction,down,27,0.1674148148148148,0.1405111111111111,0.0945999999999999,0.1884,0.026903703703703704,0.14531023722307354,0.48148148148148145,0.48148148148148145,0.48148148148148145,0.0,0.0,0.6296296296296297,0.14814814814814814,0.0,0.037037037037037035,0.14814814814814814,0.5185185185185185,0.14814814814814814,0.08164814814814815,0.06,0.6032608993096974,0.3487250172294969
heldout_test72,market_direction,up,35,0.19096285714285713,0.1391685714285714,0.1097,0.172,0.051794285714285716,0.2403201568110383,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.0,0.0,0.7428571428571429,0.14285714285714285,0.0,0.02857142857142857,0.2571428571428571,0.45714285714285713,0.2,0.05243142857142857,0.04000000000000001,0.343696225195593,0.24390243902439
heldout_test72,market_move_bin,large,30,0.2825533333333333,0.21278333333333335,0.1863,0.28469999999999995,0.06976999999999998,0.22382632465788035,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.0,0.0,0.7333333333333333,0.13333333333333333,0.0,0.0,0.1,0.16666666666666666,0.36666666666666664,0.08776333333333335,0.050299999999999956,0.342340740084326,0.22183366038728944
